,question
16589,Hold a yard sale
16590,Make a scrapbook with pictures of your favorite memories
16591,Create and follow a savings plan
16592,Have a jam session with your friends
16593,Explore a park you have never been to before
16594,Make tie dye shirts
16595,Find a charity and donate to it
16596,Play basketball with a group of friends
16597,Go swimming with a friend
16598,Prepare a dish from a foreign culture
16599,Memorize the fifty states and their capitals
16600,Play a video game
16601,Learn how the internet works
16602,Configure two-factor authentication on your accounts
16603,Conquer one of your fears
16604,Create a meal plan for the coming week
16605,Find a charity and donate to it
16606,Conquer one of your fears
16607,Start a band
16608,Draw something interesting
16609,Watch a Khan Academy lecture on a subject of your choosing
16610,Learn calligraphy
16611,Learn to sew on a button
16612,Conquer one of your fears
16613,Prepare a dish from a foreign culture
16614,Learn Kotlin
16615,Learn how to beatbox
16616,Start a webinar on a topic of your choice
16617,Organize your pantry
16618,Make a bucket list
16619,Go to the library and find an interesting book
16620,Go to the library and find an interesting book
16621,Learn to greet someone in a new language
16622,Explore a park you have never been to before
16623,Make a scrapbook with pictures of your favorite memories
16624,Have a jam session with your friends
16625,Hold a video game tournament with some friends
16626,Go to a music festival with some friends
16627,Go to a nail salon
16628,Create and follow a savings plan
16629,Play a video game
16630,Learn how to iceskate or rollerskate
16631,Clean out your closet and donate the clothes you've outgrown
16632,Write a short story
16633,Make a new friend
16634,Start a garden
16635,Plan a trip to another country
16636,Go for a run
16637,Hold a yard sale
16638,Learn woodworking
16639,Learn a new programming language
16640,Go see a Broadway production
16641,Go to an escape room
16642,Start a band
16643,Binge watch a trending series
16644,Learn origami
16645,Make a bucket list
16646,Learn to play a new instrument
16647,Go on a fishing trip with some friends
16648,Organize your movie collection
16649,Go on a long drive with no music
16650,Pot some plants and put them around your house
16651,Write a poem
16652,Memorize a favorite quote or poem
16653,Play a game of Monopoly
16654,Go on a long drive with no music
16655,Learn how to beatbox
16656,Organize a bookshelf
16657,Learn how to make an Alexa skill
16658,Bake pastries for you and your neighbor
16659,Prepare a dish from a foreign culture
16660,Make a scrapbook with pictures of your favorite memories
16661,Learn how to use a french press
16662,Learn how to make a website
16663,Uninstall unused apps from your devices
16664,Have a picnic with some friends
16665,Plant a tree
16666,Text a friend you haven't talked to in a long time
16667,Hold a video game tournament with some friends
16668,Write a note of appreciation to someone
16669,Donate blood at a local blood center
16670,Go to an escape room
16671,Learn how to play a new sport
16672,Watch the sunset or the sunrise
16673,Host a movie marathon with some friends
16674,Clean out your refrigerator
16675,Buy a new house decoration
16676,Organize a bookshelf
16677,Create a cookbook with your favorite recipes
16678,Create a compost pile
16679,Start a collection
16680,Create a meal plan for the coming week
16681,Go stargazing
16682,Draw and color a Mandala
16683,Repaint a room in your house
16684,Look at your finances and find one way to save money
16685,Fill out a basketball bracket
16686,Catch up with a friend over a lunch date
16687,Create a cookbook with your favorite recipes
16688,Listen to a new podcast
16689,Make a new friend
16690,Take a nap
16691,Organize your basement
16692,Improve your touch typing
16693,Draft your living will
16694,Have a photo session with some friends
16695,Catch up on world news
16696,Give your pet ten minutes of focused attention
16697,Research a topic you're interested in
16698,Contribute code or a monetary donation to an open-source software project
16699,Memorize a favorite quote or poem
16700,Make bread from scratch
16701,Explore a park you have never been to before
16702,Watch the sunset or the sunrise
16703,Go to the gym
16704,Pick up litter around your favorite park
16705,Hold a video game tournament with some friends
16706,Create and follow a savings plan
16707,Start a webinar on a topic of your choice
16708,Watch a movie you'd never usually watch
16709,Organize a bookshelf
16710,Play a video game
16711,Watch a Khan Academy lecture on a subject of your choosing
16712,Mow your neighbor's lawn
16713,Organize a cluttered drawer
16714,Write a song
16715,Do something nice for someone you care about
16716,Research a topic you're interested in
16717,Go to the library and find an interesting book
16718,Fix something that's broken in your house
16719,Have a jam session with your friends
16720,Learn how to fold a paper crane
16721,Organize your basement
16722,Rearrange and organize your room
16723,Make bread from scratch
16724,Sit in the dark and listen to your favorite music with no distractions
16725,Find a charity and donate to it
16726,Learn to sew on a button
16727,Learn how to use an Arduino
16728,Play a game of Monopoly
16729,Learn GraphQL
16730,Organize your pantry
16731,Learn how to beatbox
16732,Write a handwritten letter to somebody
16733,Go to a local thrift shop
16734,Learn how to french braid hair
16735,Learn calligraphy
16736,Read a formal research paper on an interesting subject
16737,Hold a video game tournament with some friends
16738,Write a list of things you are grateful for
16739,Study a foreign language
16740,Go see a movie in theaters with a few friends
16741,Listen to a new podcast
16742,Make a bucket list
16743,Play a video game
16744,Learn GraphQL
16745,Listen to a new music genre
16746,Rearrange and organize your room
16747,Teach your dog a new trick
16748,Watch a movie you'd never usually watch
16749,Learn how to beatbox
16750,Organize a bookshelf
16751,Take a spontaneous road trip with some friends
16752,Make tie dye shirts
16753,Conquer one of your fears
16754,Watch a classic movie
16755,Make a scrapbook with pictures of your favorite memories
16756,Start a blog for something you're passionate about
16757,Fill out a basketball bracket
16758,Plan a vacation you've always wanted to take
16759,Try a food you don't like
16760,Learn to play a new instrument
16761,Configure two-factor authentication on your accounts
16762,Go see a Broadway production
16763,Create a meal plan for the coming week
16764,Start a family tree
16765,Explore the nightlife of your city
16766,Plant a tree
16767,Write a handwritten letter to somebody
16768,Learn how to write in shorthand
16769,Listen to a new podcast
16770,Take a bubble bath
16771,Go see a movie in theaters with a few friends
16772,Plan a trip to another country
16773,Learn how to beatbox
16774,Go on a long drive with no music
16775,Go to the gym
16776,Create a personal website
16777,Start a family tree
16778,Start a webinar on a topic of your choice
16779,Learn to play a new instrument
16780,Do something you used to do as a kid
16781,Invite some friends over for a game night
16782,Do a jigsaw puzzle
16783,Go to a music festival with some friends
16784,Do something nice for someone you care about
16785,Learn how to write in shorthand
16786,Learn how to fold a paper crane
16787,Write a poem
16788,Explore the nightlife of your city
16789,Have a football scrimmage with some friends
